Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Sturgis Hospital,MI,Healthcare Provider,77771,2025-09-18,Hacking/IT Incident,Network Server,No,
Trusteed Plan Services Corporation,WA,Business Associate,7977,2025-09-17,Hacking/IT Incident,Network Server,Yes,
Munson Healthcare,MI,Healthcare Provider,1186,2025-09-17,Unauthorized Access/Disclosure,Paper/Films,No,
Saint Anthony Hospital ,IL,Healthcare Provider,6679,2025-09-12,Hacking/IT Incident,Email,No,
North Penn Comprehensive Health Services d.b.a Laurel Health Centers,PA,Healthcare Provider,991,2025-09-12,Hacking/IT Incident,Email,No,
Cookeville Regional Medical Center,TN,Healthcare Provider,500,2025-09-12,Hacking/IT Incident,Network Server,No,
"Franklin Dermatology Group, PLC",TN,Healthcare Provider,2457,2025-09-11,Hacking/IT Incident,Network Server,Yes,
Western Skies Wellness LLC,OR,Healthcare Provider,1700,2025-09-11,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,
"PGA Development, Inc.",PA,Healthcare Provider,23899,2025-09-10,Hacking/IT Incident,Network Server,No,
Texas Center for Infectious Disease Associates,TX,Healthcare Provider,1236,2025-09-10,Hacking/IT Incident,Email,No,
Coos County Family Health Services,NH,Healthcare Provider,501,2025-09-05,Hacking/IT Incident,Network Server,No,
Somerset County Children and Youth Services,PA,Healthcare Provider,2251,2025-09-05,Hacking/IT Incident,Email,No,
"Medical Associates of Brevard, LLC",FL,Healthcare Provider,246711,2025-09-05,Hacking/IT Incident,Network Server,No,
Twin Cities Pain Clinic,MN,Healthcare Provider,3572,2025-09-04,Hacking/IT Incident,Email,No,
Retina Group of Florida,FL,Healthcare Provider,152691,2025-09-03,Hacking/IT Incident,Network Server,No,
Teamsters Union 25 Health Services & Insurance Plan,MA,Health Plan,19231,2025-09-03,Hacking/IT Incident,Network Server,No,
"La Perouse, LLC",NV,Business Associate,501,2025-09-02,Hacking/IT Incident,Network Server,Yes,
North Oaks Health System,LA,Healthcare Provider,6243,2025-09-02,Hacking/IT Incident,Email,No,
University of Iowa Community Home Care,IA,Healthcare Provider,109029,2025-08-29,Hacking/IT Incident,Network Server,No,
University of Iowa Health Care,IA,Healthcare Provider,101875,2025-08-29,Hacking/IT Incident,Network Server,No,
"Carrollton Ear, Nose and Throat, PC",GA,Healthcare Provider,3569,2025-08-29,Hacking/IT Incident,Network Server,No,
Reimagine Network,CA,Healthcare Provider,4799,2025-08-29,Hacking/IT Incident,Network Server,No,
Anthony L. Jordan Health Corporation ,NY,Healthcare Provider,2974,2025-08-29,Hacking/IT Incident,Email,No,
